count,description,is_static,label,show_on_media,show_on_stories,tag,tag_set_label,tag_set_name,tag_sets_id,tags_id
28535,,False,,,,readability-lxml-0.7,,extractor_version,1354,81092444
28225,Story was tagged with 'nyt_labeller_v1.0.0',False,nyt_labeller_v1.0.0,False,True,nyt_labeller_v1.0.0,nyt_labels_version,nyt_labels_version,1964,9360669
28225,Story was tagged with 'cliff_clavin_v2.4.1',False,cliff_clavin_v2.4.1,,,cliff_clavin_v2.4.1,geocoder_version,geocoder_version,1937,9696677
20732,finances,False,finances,,,finances,nyt_labels,nyt_labels,1963,9360840
13777,United States | A | US,False,United States,False,,geonames_6252001,mc-geocoder@media.mit.edu,mc-geocoder@media.mit.edu,1011,8878461
10925,computers and the internet,False,computers and the internet,,,computers and the internet,nyt_labels,nyt_labels,1963,9360839
10238,BTC,False,BTC,,,BTC,cliff_organizations,cliff_organizations,2388,9432929
9935,currency,False,currency,,,currency,nyt_labels,nyt_labels,1963,9361044
4103,"prices (fares, fees and rates)",False,"prices (fares, fees and rates)",,,"prices (fares, fees and rates)",nyt_labels,nyt_labels,1963,9360996
4025,BNB,False,BNB,,,BNB,cliff_organizations,cliff_organizations,2388,9723265
3850,Bitcoin SV,False,Bitcoin SV,,,Bitcoin SV,cliff_people,cliff_people,2389,73261586
3257,crypto,False,crypto,,,crypto,cliff_organizations,cliff_organizations,2388,9491867
3093,stocks and bonds,False,stocks and bonds,,,stocks and bonds,nyt_labels,nyt_labels,1963,9361012
2431,banks and banking,False,banks and banking,,,banks and banking,nyt_labels,nyt_labels,1963,9360943
2177,Canada | A | CA,False,Canada,False,,geonames_6251999,mc-geocoder@media.mit.edu,mc-geocoder@media.mit.edu,1011,8878548
2106,computer software,False,computer software,,,computer software,nyt_labels,nyt_labels,1963,9360880
1911,frauds and swindling,False,frauds and swindling,,,frauds and swindling,nyt_labels,nyt_labels,1963,9360947
1798,Gerald Cotten,False,Gerald Cotten,,,Gerald Cotten,cliff_people,cliff_people,2389,31339291
1784,politics and government,False,politics and government,,,politics and government,nyt_labels,nyt_labels,1963,9360836
1754,Bitcoin,False,Bitcoin,,,Bitcoin,cliff_people,cliff_people,2389,9379742
1724,IDEX,False,IDEX,,,IDEX,cliff_organizations,cliff_organizations,2388,10033740
1401,Jennifer Robertson,False,Jennifer Robertson,,,Jennifer Robertson,cliff_people,cliff_people,2389,9501878
1394,Google,False,Google,,,Google,cliff_organizations,cliff_organizations,2388,9363209
1336,Facebook,False,Facebook,,,Facebook,cliff_organizations,cliff_organizations,2388,9362725
1334,economic conditions and trends,False,economic conditions and trends,,,economic conditions and trends,nyt_labels,nyt_labels,1963,9360989
1238,Crypto,False,Crypto,,,Crypto,cliff_organizations,cliff_organizations,2388,9369594
1227,CRYPTO,False,CRYPTO,,,CRYPTO,cliff_organizations,cliff_organizations,2388,9914799
1200,fiat,False,fiat,,,fiat,cliff_organizations,cliff_organizations,2388,9375774
1177,Nova Scotia | A | 07 | CA,False,Nova Scotia,,,geonames_6091530,mc-geocoder@media.mit.edu,mc-geocoder@media.mit.edu,1011,8879860
1158,suits and litigation,False,suits and litigation,,,suits and litigation,nyt_labels,nyt_labels,1963,9360860
1152,credit,False,credit,,,credit,nyt_labels,nyt_labels,1963,9361030
1142,Reuters,False,Reuters,,,Reuters,cliff_organizations,cliff_organizations,2388,9362267
1130,California | A | CA | US,False,California,False,,geonames_5332921,mc-geocoder@media.mit.edu,mc-geocoder@media.mit.edu,1011,8878533
1102,crime and criminals,False,crime and criminals,,,crime and criminals,nyt_labels,nyt_labels,1963,9360912
1070,New York | A | NY | US,False,New York,False,,geonames_5128638,mc-geocoder@media.mit.edu,mc-geocoder@media.mit.edu,1011,8878463
1043,People’s Republic of China | A | CN,False,People’s Republic of China,False,,geonames_1814991,mc-geocoder@media.mit.edu,mc-geocoder@media.mit.edu,1011,8878478
1034,QuadrigaCX,False,QuadrigaCX,,,QuadrigaCX,cliff_people,cliff_people,2389,31339295
