count,date
1,2013-01-01 00:00:00
6,2013-01-02 00:00:00
8,2013-01-03 00:00:00
5,2013-01-04 00:00:00
4,2013-01-05 00:00:00
2,2013-01-06 00:00:00
10,2013-01-07 00:00:00
3,2013-01-08 00:00:00
8,2013-01-09 00:00:00
3,2013-01-10 00:00:00
2,2013-01-11 00:00:00
3,2013-01-12 00:00:00
2,2013-01-13 00:00:00
1,2013-01-14 00:00:00
5,2013-01-15 00:00:00
2,2013-01-16 00:00:00
1,2013-01-17 00:00:00
2,2013-01-18 00:00:00
3,2013-01-21 00:00:00
5,2013-01-22 00:00:00
8,2013-01-23 00:00:00
3,2013-01-24 00:00:00
3,2013-01-25 00:00:00
3,2013-01-26 00:00:00
3,2013-01-27 00:00:00
4,2013-01-28 00:00:00
3,2013-01-29 00:00:00
1,2013-01-30 00:00:00
8,2013-01-31 00:00:00
9,2013-02-01 00:00:00
4,2013-02-02 00:00:00
4,2013-02-03 00:00:00
4,2013-02-04 00:00:00
6,2013-02-05 00:00:00
10,2013-02-06 00:00:00
1,2013-02-07 00:00:00
11,2013-02-08 00:00:00
6,2013-02-09 00:00:00
1,2013-02-10 00:00:00
2,2013-02-11 00:00:00
12,2013-02-12 00:00:00
2,2013-02-13 00:00:00
17,2013-02-14 00:00:00
7,2013-02-15 00:00:00
11,2013-02-16 00:00:00
8,2013-02-17 00:00:00
19,2013-02-18 00:00:00
7,2013-02-19 00:00:00
5,2013-02-20 00:00:00
9,2013-02-21 00:00:00
9,2013-02-22 00:00:00
1,2013-02-23 00:00:00
6,2013-02-24 00:00:00
5,2013-02-25 00:00:00
5,2013-02-26 00:00:00
6,2013-02-27 00:00:00
23,2013-02-28 00:00:00
11,2013-03-01 00:00:00
4,2013-03-02 00:00:00
6,2013-03-03 00:00:00
7,2013-03-04 00:00:00
13,2013-03-05 00:00:00
14,2013-03-06 00:00:00
13,2013-03-07 00:00:00
7,2013-03-08 00:00:00
7,2013-03-09 00:00:00
4,2013-03-10 00:00:00
9,2013-03-11 00:00:00
11,2013-03-12 00:00:00
17,2013-03-13 00:00:00
7,2013-03-14 00:00:00
29,2013-03-15 00:00:00
2,2013-03-16 00:00:00
1,2013-03-17 00:00:00
