count,date
214,2019-01-01 00:00:00
480,2019-01-02 00:00:00
472,2019-01-03 00:00:00
432,2019-01-04 00:00:00
315,2019-01-05 00:00:00
299,2019-01-06 00:00:00
511,2019-01-07 00:00:00
500,2019-01-08 00:00:00
783,2019-01-09 00:00:00
431,2019-01-10 00:00:00
559,2019-01-11 00:00:00
282,2019-01-12 00:00:00
293,2019-01-13 00:00:00
601,2019-01-14 00:00:00
444,2019-01-15 00:00:00
543,2019-01-16 00:00:00
427,2019-01-17 00:00:00
462,2019-01-18 00:00:00
299,2019-01-19 00:00:00
313,2019-01-20 00:00:00
441,2019-01-21 00:00:00
509,2019-01-22 00:00:00
627,2019-01-23 00:00:00
546,2019-01-24 00:00:00
609,2019-01-25 00:00:00
441,2019-01-26 00:00:00
417,2019-01-27 00:00:00
682,2019-01-28 00:00:00
662,2019-01-29 00:00:00
477,2019-01-30 00:00:00
443,2019-01-31 00:00:00
468,2019-02-01 00:00:00
276,2019-02-02 00:00:00
217,2019-02-03 00:00:00
888,2019-02-04 00:00:00
1065,2019-02-05 00:00:00
708,2019-02-06 00:00:00
623,2019-02-07 00:00:00
505,2019-02-08 00:00:00
425,2019-02-09 00:00:00
381,2019-02-10 00:00:00
417,2019-02-11 00:00:00
497,2019-02-12 00:00:00
450,2019-02-13 00:00:00
886,2019-02-14 00:00:00
342,2019-02-15 00:00:00
178,2019-02-16 00:00:00
214,2019-02-17 00:00:00
419,2019-02-18 00:00:00
386,2019-02-19 00:00:00
231,2019-02-20 00:00:00
353,2019-02-21 00:00:00
291,2019-02-22 00:00:00
190,2019-02-23 00:00:00
256,2019-02-24 00:00:00
616,2019-02-25 00:00:00
973,2019-02-26 00:00:00
1016,2019-02-27 00:00:00
737,2019-02-28 00:00:00
14,2019-03-01 00:00:00
